NetType,Scenario,VaryingParamName,ParamValue,Throughput,Delay,PDR,DropRatio,Energy
wired,baseline,Nodes,20.000000,1.513062,4308.827290,17.692209,81.726884,0.000000
wired,baseline,Nodes,25.000000,1.361679,4466.764278,15.922089,83.449914,0.000000
wired,baseline,Nodes,30.000000,1.278171,4533.575185,14.945634,84.371147,0.000000
wired,baseline,Nodes,35.000000,0.830612,5210.182585,9.712329,89.518836,0.000000
wired,baseline,Nodes,40.000000,1.788334,4466.895051,20.910959,78.408818,0.000000
wired,baseline,Nodes,45.000000,0.328869,4847.854994,3.845462,102.074914,0.000000
wired,baseline,Nodes,50.000000,0.217062,4649.798698,2.538099,110.363442,0.000000
wired,baseline,Nodes,5.000000,1.998037,1209.580290,23.363014,76.579623,0.000000
wired,baseline,Nodes,55.000000,1.858039,4522.698038,21.726027,77.590325,0.000000
wired,baseline,Nodes,60.000000,1.837208,4573.277193,21.482449,77.832192,0.000000
wired,baseline,Nodes,65.000000,1.816084,4622.558624,21.235445,78.076199,0.000000
wired,baseline,Nodes,70.000000,1.795436,4671.311919,20.994007,78.319349,0.000000
wired,baseline,Nodes,75.000000,1.774568,4722.921217,20.750000,78.560788,0.000000
wired,baseline,Nodes,80.000000,1.753407,4777.684934,20.502568,78.806935,0.000000
wired,baseline,Nodes,85.000000,1.732503,4830.326389,20.258134,79.048801,0.000000
wired,baseline,Nodes,90.000000,1.711745,4884.129425,20.015411,79.287671,0.000000
wired,baseline,Nodes,95.000000,1.690841,4941.998634,19.770976,79.533390,0.000000
wired,baseline,PPS,100.000000,1.837208,4573.277193,21.482449,77.832192,0.000000
wired,baseline,PPS,150.000000,1.836879,4638.525702,14.318655,85.214178,0.000000
wired,baseline,PPS,200.000000,1.836915,4768.473808,10.739052,88.899448,0.000000
wired,baseline,PPS,250.000000,1.837062,4945.428466,8.591853,91.110731,0.000000
wired,baseline,PPS,300.000000,1.836988,5162.330918,7.159347,92.561567,0.000000
wired,baseline,PPS,350.000000,1.836988,5340.047387,6.136733,93.565951,0.000000
wired,baseline,PPS,400.000000,1.837135,5650.475596,5.370053,94.148492,0.000000
wired,baseline,PPS,450.000000,1.836988,5885.458587,4.772898,94.786596,0.000000
wired,baseline,PPS,500.000000,1.836952,6102.788142,4.295596,95.103589,0.000000
wired,baseline,Speed,10.000000,1.837208,4573.277193,21.482449,77.832192,0.000000
wired,baseline,Speed,15.000000,1.837208,4573.277193,21.482449,77.832192,0.000000
wired,baseline,Speed,20.000000,1.837208,4573.277193,21.482449,77.832192,0.000000
wired,baseline,Speed,25.000000,1.837208,4573.277193,21.482449,77.832192,0.000000
wired,baseline,Speed,5.000000,1.837208,4573.277193,21.482449,77.832192,0.000000
wired,defense,Coverage,1.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
