Time,OldRTT_ns,NewRTT_ns,Detection
2.01565,15647907,15647907,NoWormhole
2.10501,15647907,5011934,WormholeDetected
2.2075,13520712,7501169,WormholeDetected
2.30702,12316803,7021431,WormholeDetected
2.40261,11257729,2613713,WormholeDetected
2.50633,9528926,6331313,WormholeDetected
2.6074,8889403,7402290,NoWormhole
2.70621,8591980,6212159,WormholeDetected
2.80766,8116016,7660737,NoWormhole
2.90319,8024960,3190153,WormholeDetected
3.00301,7057999,3010180,WormholeDetected
3.10725,6248435,7253203,NoWormhole
3.20707,6449389,7071881,NoWormhole
3.30728,6573887,7281350,NoWormhole
3.40699,6715380,6992304,NoWormhole
3.50653,6770765,6531354,NoWormhole
3.60657,6722883,6570725,NoWormhole
3.70881,6692451,8809554,WormholeDetected
3.80472,7115872,4722242,WormholeDetected
3.9031,6637146,3103191,WormholeDetected
4.00456,5930355,4562787,NoWormhole
4.10639,5656841,6392146,NoWormhole
4.20839,5803902,8392078,WormholeDetected
4.30438,6321537,4382893,NoWormhole
4.40558,5933808,5582279,NoWormhole
4.50588,5863502,5882627,NoWormhole
4.60509,5867327,5091985,NoWormhole
4.70586,5712259,5861626,NoWormhole
4.80458,5742132,4582979,NoWormhole
4.90635,5510301,6352463,NoWormhole
5.00544,5678733,5439628,NoWormhole
5.1066,5630912,6597074,NoWormhole
5.2059,5824144,5902215,NoWormhole
5.30328,5839758,3284058,WormholeDetected
5.40332,5328618,3323755,WormholeDetected
5.50247,4927645,2473761,WormholeDetected
5.60263,4436868,2633763,NoWormhole
5.70732,4076247,7322222,WormholeDetected
5.80808,4725442,8077748,WormholeDetected
5.90659,5395903,6592541,NoWormhole
6.00548,5635231,5477754,NoWormhole
6.103,5603736,3003860,WormholeDetected
6.20905,5083761,9049872,WormholeDetected
6.3094,5876983,9398517,WormholeDetected
6.40354,6581290,3542784,WormholeDetected
6.50247,5973589,2473777,WormholeDetected
6.60359,5273627,3594383,NoWormhole
6.70367,4937778,3672594,NoWormhole
6.80711,4684741,7108195,WormholeDetected
6.90643,5169432,6432409,NoWormhole
7.00812,5422027,8117162,WormholeDetected
7.10673,5961054,6731921,NoWormhole
7.20641,6115227,6411706,NoWormhole
7.30383,6174523,3833615,WormholeDetected
7.40405,5706341,4053219,NoWormhole
7.50509,5375717,5093727,NoWormhole
7.60247,5319319,2473796,WormholeDetected
7.70656,4750214,6563968,NoWormhole
7.80466,5112965,4663165,NoWormhole
7.90586,5023005,5861890,NoWormhole
8.0104,5190782,10399926,WormholeDetected
8.10694,6232611,6941926,NoWormhole
8.20715,6374474,7150057,NoWormhole
8.30665,6529591,6649358,NoWormhole
8.40543,6553544,5432301,NoWormhole
8.50697,6329295,6970162,NoWormhole
8.60738,6457468,7382025,NoWormhole
8.70926,6642379,9257368,WormholeDetected
8.80615,7165377,6151945,NoWormhole
8.90227,6962691,2273820,WormholeDetected
9.00594,6024917,5942612,NoWormhole
9.10546,6008456,5457402,NoWormhole
9.20605,5898245,6051942,NoWormhole
9.30573,5928984,5733026,NoWormhole
9.40563,5889792,5629634,NoWormhole
9.5046,5837760,4603275,NoWormhole
9.60694,5590863,6941997,NoWormhole
9.70634,5861090,6339889,NoWormhole
9.80655,5956850,6552111,NoWormhole
9.90773,6075902,7730351,NoWormhole
10.0029,6406792,2871839,WormholeDetected
10.1069,5699801,6851549,NoWormhole
10.203,5930151,3003203,WormholeDetected
10.3093,5344761,9337799,WormholeDetected
10.4051,6143369,5063711,NoWormhole
10.5088,5927437,8837994,WormholeDetected
10.6051,6509548,5131870,NoWormhole
10.7032,6234012,3224062,WormholeDetected
10.8047,5632022,4673506,NoWormhole
10.9036,5440319,3594007,NoWormhole
11.009,5071057,8988738,WormholeDetected
11.1049,5854593,4852592,NoWormhole
11.2032,5654193,3184121,WormholeDetected
11.3075,5160179,7481118,WormholeDetected
11.4078,5624367,7831188,WormholeDetected
11.5068,6065731,6832887,NoWormhole
