Time,OldRTT_ns,NewRTT_ns,Detection
17.6034,5446493,3414507,WormholeDetected
17.7066,5040096,6582338,NoWormhole
17.8063,5348544,6253493,NoWormhole
17.9044,5529534,4404225,NoWormhole
18.0045,5304472,4523454,NoWormhole
18.1093,5148268,9300548,WormholeDetected
18.2038,5978724,3774050,WormholeDetected
18.3072,5537789,7162118,NoWormhole
18.406,5862655,5982111,NoWormhole
18.5061,5886546,6063097,NoWormhole
18.6041,5921856,4074531,NoWormhole
18.7065,5552391,6532229,NoWormhole
18.8064,5748359,6431337,NoWormhole
18.9077,5884955,7739832,NoWormhole
19.0034,6255930,3404449,WormholeDetected
19.1027,5685634,2723091,WormholeDetected
19.2042,5093125,4164460,NoWormhole
19.3042,4907392,4224396,NoWormhole
19.4039,4770793,3913301,NoWormhole
19.5075,4599295,7511072,WormholeDetected
19.6045,5181650,4523052,NoWormhole
19.7028,5049930,2823687,WormholeDetected
19.8044,4604681,4403056,NoWormhole
19.9076,4564356,7562511,WormholeDetected
20.0051,5163987,5074432,NoWormhole
20.1084,5146076,8398175,WormholeDetected
20.2041,5796496,4074134,NoWormhole
20.3067,5452024,6732068,NoWormhole
20.4046,5708033,4603765,NoWormhole
20.504,5487179,4013456,NoWormhole
20.6046,5192434,4624169,NoWormhole
20.7083,5078781,8260857,WormholeDetected
20.8061,5715196,6071342,NoWormhole
20.9028,5786425,2754770,WormholeDetected
21.0054,5180094,5353965,NoWormhole
21.1072,5214868,7208167,NoWormhole
21.2055,5613528,5452781,NoWormhole
21.3027,5581379,2734251,WormholeDetected
21.4059,5011953,5902656,NoWormhole
21.5082,5190094,8231488,WormholeDetected
21.607,5798373,6993407,NoWormhole
21.7056,6037380,5602235,NoWormhole
21.8029,5950351,2904391,WormholeDetected
21.9037,5341159,3694289,NoWormhole
22.0049,5011785,4942277,NoWormhole
22.1091,4997883,9074538,WormholeDetected
22.2057,5813214,5743212,NoWormhole
22.3073,5799214,7282294,NoWormhole
22.4075,6095830,7462840,NoWormhole
22.5073,6369232,7283245,NoWormhole
22.6065,6552035,6493526,NoWormhole
22.7042,6540333,4184124,WormholeDetected
22.8073,6069091,7342780,NoWormhole
22.9067,6323829,6673648,NoWormhole
23.0041,6393793,4093408,WormholeDetected
23.1083,5933716,8316609,WormholeDetected
23.2067,6410295,6721391,NoWormhole
23.3023,6472514,2314272,WormholeDetected
23.406,5640866,5982624,NoWormhole
23.5064,5709218,6433082,NoWormhole
23.6052,5853991,5173681,NoWormhole
23.706,5717929,6043004,NoWormhole
23.8065,5782944,6510138,NoWormhole
23.9075,5928383,7482512,NoWormhole
24.0058,6239209,5848132,NoWormhole
24.1042,6160994,4213423,NoWormhole
24.2063,5771480,6343293,NoWormhole
24.3059,5885843,5863654,NoWormhole
24.4034,5881405,3443677,WormholeDetected
24.5068,5393859,6813699,NoWormhole
24.6065,5677827,6454217,NoWormhole
24.7075,5833105,7463161,NoWormhole
24.8036,6159116,3614124,WormholeDetected
24.9076,5650118,7562664,NoWormhole
25.0024,6032627,2434772,WormholeDetected
25.1071,5313056,7143750,NoWormhole
25.2073,5679195,7322870,NoWormhole
25.3074,6007930,7443429,NoWormhole
25.407,6295030,7003760,NoWormhole
25.5047,6436776,4684544,NoWormhole
25.609,6086330,9019824,WormholeDetected
25.7022,6673029,2234297,WormholeDetected
25.8048,5785283,4784357,NoWormhole
25.9064,5585098,6352969,NoWormhole
26.0081,5738672,8112544,WormholeDetected
26.108,6213446,7997256,NoWormhole
26.2066,6570208,6612660,NoWormhole
26.3084,6578698,8433591,NoWormhole
26.4037,6949677,3721674,WormholeDetected
26.5052,6304076,5173816,NoWormhole
26.6074,6078024,7402903,NoWormhole
26.7052,6343000,5173403,NoWormhole
26.8043,6109081,4323550,NoWormhole
26.9065,5751975,6532830,NoWormhole
27.0075,5908146,7487728,NoWormhole
27.1062,6224062,6216835,NoWormhole
27.2073,6222617,7301895,NoWormhole
27.3066,6438473,6573854,NoWormhole
27.4048,6465549,4763513,NoWormhole
27.5047,6125142,4684048,NoWormhole
27.604,5836923,3993387,NoWormhole
27.7054,5468216,5393423,NoWormhole
27.8074,5453257,7403885,NoWormhole
27.9076,5843383,7570592,NoWormhole
28.0058,6188825,5843525,NoWormhole
28.1049,6119765,4900661,NoWormhole
28.2065,5875944,6473073,NoWormhole
28.3062,5995370,6162334,NoWormhole
28.4074,6028763,7423588,NoWormhole
28.5075,6307728,7543593,NoWormhole
28.6042,6554901,4213513,WormholeDetected
28.7041,6086623,4094208,NoWormhole
28.8035,5688140,3544494,WormholeDetected
28.9037,5259411,3654623,NoWormhole
29.0062,4938453,6200796,NoWormhole
29.1044,5190922,4418194,NoWormhole
29.2054,5036376,5373718,NoWormhole
29.3059,5103844,5863697,NoWormhole
29.4046,5255815,4583251,NoWormhole
29.5074,5121302,7364011,WormholeDetected
29.603,5569844,3004919,WormholeDetected
29.7044,5056859,4383779,NoWormhole
29.8027,4922243,2654776,WormholeDetected
29.9032,4468750,3204056,NoWormhole
30.0078,4215811,7780219,WormholeDetected
30.104,4928693,4034024,NoWormhole
30.2056,4749759,5642106,NoWormhole
30.3026,4928228,2574348,WormholeDetected
30.4084,4457452,8387687,WormholeDetected
30.5064,5243499,6433961,NoWormhole
30.6071,5481591,7123696,NoWormhole
30.7074,5810012,7402782,NoWormhole
30.8034,6128566,3394031,WormholeDetected
30.9081,5581659,8081972,WormholeDetected
