Time,OldRTT_ns,NewRTT_ns,Detection
2.01738,17380671,17380671,NoWormhole
2.10808,17380671,8075799,WormholeDetected
2.20513,15519697,5132895,WormholeDetected
2.30489,13442337,4893153,WormholeDetected
2.40791,11732500,7910845,WormholeDetected
2.5072,10968169,7200905,WormholeDetected
2.6031,10214716,3104079,WormholeDetected
2.70296,8792589,2964018,WormholeDetected
2.80425,7626875,4253105,WormholeDetected
2.90587,6952121,5869785,NoWormhole
3.00904,6735654,9040791,WormholeDetected
3.11009,7196681,10091647,WormholeDetected
3.20798,7775674,7981480,NoWormhole
3.3046,7816835,4603116,WormholeDetected
3.40768,7174091,7681905,NoWormhole
3.50764,7275654,7640956,NoWormhole
3.60748,7348714,7480328,NoWormhole
3.7097,7375037,9699158,WormholeDetected
3.80533,7839861,5331847,WormholeDetected
3.90373,7338258,3732797,WormholeDetected
4.00233,6617166,2333961,WormholeDetected
4.1057,5760525,5702398,NoWormhole
4.20484,5748900,4843587,NoWormhole
4.30629,5567837,6291915,NoWormhole
4.40728,5712653,7281665,NoWormhole
4.50651,6026455,6512239,NoWormhole
4.60578,6123612,5781598,NoWormhole
4.70728,6055209,7281454,NoWormhole
4.80569,6300458,5692594,NoWormhole
4.90296,6178885,2964078,WormholeDetected
5.00852,5535924,8522499,WormholeDetected
5.10599,6133239,5987310,NoWormhole
5.20752,6104053,7522051,NoWormhole
5.30393,6387653,3933678,WormholeDetected
5.40541,5896858,5412904,NoWormhole
5.50511,5800067,5112873,NoWormhole
5.60476,5662628,4763262,NoWormhole
5.70651,5482755,6512448,NoWormhole
5.80465,5688694,4649453,NoWormhole
5.90286,5480846,2864110,WormholeDetected
6.00605,4957499,6047381,NoWormhole
6.10499,5175475,4993031,NoWormhole
6.20984,5138986,9839501,WormholeDetected
6.30287,6079089,2871448,WormholeDetected
6.40632,5437561,6321945,NoWormhole
6.50588,5614438,5881835,NoWormhole
6.603,5667917,3004595,WormholeDetected
6.70629,5135253,6291602,NoWormhole
6.8077,5366523,7697830,WormholeDetected
6.90582,5832784,5822616,NoWormhole
7.00625,5830750,6252421,NoWormhole
7.10596,5915084,5962124,NoWormhole
7.20294,5924492,2943873,WormholeDetected
7.30503,5328368,5033025,NoWormhole
7.40346,5269299,3463418,NoWormhole
7.50324,4908123,3244297,NoWormhole
7.60439,4575358,4391725,NoWormhole
7.70435,4538631,4354529,NoWormhole
7.80621,4501811,6210810,NoWormhole
7.90748,4843611,7481779,WormholeDetected
8.00543,5371245,5432444,NoWormhole
8.10564,5383485,5642773,NoWormhole
8.2079,5435343,7899705,WormholeDetected
8.30457,5928215,4569744,NoWormhole
8.40744,5656521,7441223,NoWormhole
8.50581,6013461,5811000,NoWormhole
8.60397,5972969,3973320,NoWormhole
8.70481,5573039,4809954,NoWormhole
8.80552,5420422,5522121,NoWormhole
8.90541,5440762,5412396,NoWormhole
9.00756,5435089,7562042,WormholeDetected
9.10306,5860480,3063942,WormholeDetected
9.20666,5301172,6661600,NoWormhole
9.3087,5573258,8702043,WormholeDetected
9.40804,6199015,8038927,NoWormhole
9.50539,6566997,5392936,NoWormhole
9.60631,6332185,6312160,NoWormhole
9.7078,6328180,7799813,NoWormhole
9.80712,6622507,7121775,NoWormhole
9.9059,6722361,5902509,NoWormhole
10.0062,6558391,6200336,NoWormhole
10.106,6486780,6001705,NoWormhole
10.2049,6389765,4892502,NoWormhole
10.3042,6090312,4193139,NoWormhole
10.4063,5710877,6343721,NoWormhole
10.5053,5837446,5299694,NoWormhole
10.6072,5729896,7229886,NoWormhole
10.7066,6029894,6552816,NoWormhole
10.8041,6134478,4103649,WormholeDetected
10.903,5728312,3004149,WormholeDetected
11.01,5183479,10018414,WormholeDetected
11.1024,6150466,2414215,WormholeDetected
11.2051,5403216,5053223,NoWormhole
11.3031,5333217,3084026,WormholeDetected
11.4063,4883379,6263322,NoWormhole
11.5034,5159368,3404188,NoWormhole
11.604,4808332,3953756,NoWormhole
11.7079,4637417,7878404,WormholeDetected
11.8058,5285614,5762774,NoWormhole
11.9054,5381046,5373287,NoWormhole
12.0073,5379494,7337935,NoWormhole
12.1082,5771182,8177224,WormholeDetected
12.2071,6252390,7109897,NoWormhole
12.3064,6423891,6380811,NoWormhole
12.4038,6415275,3833952,WormholeDetected
12.5058,5899010,5842931,NoWormhole
12.6052,5887794,5153348,NoWormhole
12.7069,5740905,6853491,NoWormhole
12.8081,5963422,8121189,WormholeDetected
12.903,6394975,2984595,WormholeDetected
13.0065,5712899,6477583,NoWormhole
13.1082,5865836,8227163,WormholeDetected
13.2067,6338101,6712719,NoWormhole
13.3066,6413025,6552026,NoWormhole
13.4022,6440825,2174598,WormholeDetected
13.5079,5587580,7868440,WormholeDetected
13.6065,6043752,6489724,NoWormhole
13.7047,6132946,4743833,NoWormhole
13.8087,5855123,8676205,WormholeDetected
13.9055,6419339,5453346,NoWormhole
14.0091,6226140,9091105,WormholeDetected
14.1074,6799133,7427234,NoWormhole
14.2075,6924753,7541587,NoWormhole
14.3052,7048120,5233372,NoWormhole
14.4046,6685170,4563492,WormholeDetected
14.5088,6260834,8788976,WormholeDetected
14.6057,6766462,5703782,NoWormhole
14.705,6553926,5043048,NoWormhole
14.8046,6251750,4563399,NoWormhole
14.9026,5914080,2614652,WormholeDetected
15.0072,5254194,7221926,NoWormhole
15.1024,5647740,2414362,WormholeDetected
15.2077,5001064,7682862,WormholeDetected
15.3088,5537424,8801130,WormholeDetected
15.4075,6190165,7481521,NoWormhole
15.505,6448436,4953592,NoWormhole
15.6061,6149467,6062500,NoWormhole
15.708,6132074,8020332,NoWormhole
15.8065,6509726,6532372,NoWormhole
15.9034,6514255,3434747,WormholeDetected
