Time,OldRTT_ns,NewRTT_ns,Detection
2.01067,10667226,10667226,NoWormhole
2.1056,10667226,5601607,WormholeDetected
2.20655,9654102,6551651,WormholeDetected
2.30633,9033612,6331912,WormholeDetected
2.40523,8493272,5231461,WormholeDetected
2.50365,7840910,3652825,WormholeDetected
2.60576,7003293,5762695,NoWormhole
2.70564,6755173,5642637,NoWormhole
2.80543,6532666,5431874,NoWormhole
2.90786,6312508,7859000,NoWormhole
3.00645,6621806,6447938,NoWormhole
3.10432,6587032,4321347,WormholeDetected
3.20304,6133895,3043582,WormholeDetected
3.30653,5515832,6531824,NoWormhole
3.40529,5719030,5292723,NoWormhole
3.50499,5633769,4991773,NoWormhole
3.60596,5505370,5961197,NoWormhole
3.70637,5596535,6369967,NoWormhole
3.80279,5751221,2793365,WormholeDetected
3.907,5159650,7000661,NoWormhole
4.00808,5527852,8075317,WormholeDetected
4.10387,6037345,3873150,WormholeDetected
4.20689,5604506,6892315,NoWormhole
4.30698,5862068,6981447,NoWormhole
4.40322,6085944,3223586,WormholeDetected
4.50714,5513472,7141775,NoWormhole
4.60708,5839133,7080752,NoWormhole
4.70655,6087457,6551304,NoWormhole
4.803,6180226,3003371,WormholeDetected
4.90456,5544855,4562888,NoWormhole
5.00418,5348462,4179844,NoWormhole
5.10288,5114738,2882514,WormholeDetected
5.20673,4668293,6731893,WormholeDetected
5.30653,5081013,6532574,NoWormhole
5.40393,5371325,3933434,NoWormhole
5.50732,5083747,7321058,WormholeDetected
5.60726,5531209,7261534,NoWormhole
5.70527,5877274,5272195,NoWormhole
5.80739,5756258,7388205,NoWormhole
5.9045,6082647,4502939,NoWormhole
6.00818,5766705,8175572,WormholeDetected
6.10367,6248478,3673540,WormholeDetected
6.20775,5733490,7750234,WormholeDetected
6.30835,6136839,8348970,WormholeDetected
6.40943,6579265,9430140,WormholeDetected
6.50661,7149440,6611401,NoWormhole
6.60527,7041832,5273695,NoWormhole
6.70428,6688205,4282276,WormholeDetected
6.80561,6207019,5608366,NoWormhole
6.90511,6087288,5112429,NoWormhole
7.00505,5892316,5052128,NoWormhole
7.10464,5724278,4642604,NoWormhole
7.20722,5507943,7221389,NoWormhole
7.30617,5850632,6172211,NoWormhole
7.40521,5914948,5212529,NoWormhole
7.50724,5774464,7242037,NoWormhole
7.60798,6067979,7979681,NoWormhole
7.70965,6450319,9652279,WormholeDetected
7.8087,7090711,8699023,NoWormhole
7.90647,7412373,6471575,NoWormhole
8.00862,7224213,8615415,NoWormhole
8.10637,7502453,6372366,NoWormhole
8.20437,7276436,4371247,WormholeDetected
8.30868,6695398,8677668,NoWormhole
8.40681,7091852,6811011,NoWormhole
8.50638,7035684,6380599,NoWormhole
8.60578,6904667,5782149,NoWormhole
8.70817,6680163,8167804,NoWormhole
